,stn_name,stn_code,line_number
6,Bayfront,CE1-DT16,2
14,Bishan,NS17-CC15,2
17,Botanic Gardens,DT9-CC19,2
22,Bugis,EW12-DT14,2
25,Bukit Panjang,BP6-DT1,3
26,Buona Vista,CC22-EW21,2
27,Caldecott,TE9-CC17,2
32,Chinatown,DT19-NE4,2
34,Choa Chu Kang,BP1-NS4,2
35,City Hall,NS25-EW13,2
44,Dhoby Ghaut,CC1-NS24-NE6,3
49,Expo,DT35-CG1,2
60,HarbourFront,CC29-NE1,2
69,Jurong East,EW24-NS1,2
88,Little India,DT12-NE7,2
90,MacPherson,DT26-CC10,2
91,Marina Bay,NS27-TE20-CE2,3
103,Newton,NS21-DT11,2
108,Orchard,TE14-NS22,2
110,Outram Park,EW16-NE3-TE17,3
113,Paya Lebar,EW8-CC9,2
119,Promenade,CC4-DT15,3
120,Punggol,NE17-PTC,3
123,Raffles Place,EW14-NS26,2
134,Sengkang,STC-NE16,3
136,Serangoon,CC13-NE12,2
146,Stevens,DT10-TE11,2
149,Tampines,EW2-DT32,2
153,Tanah Merah,CG-EW4,2
170,Woodlands,NS9-TE2,2
