name,name_zh,opening_date,line_name,line_name_zh,x_gcj02,y_gcj02,station_id
shizishan,狮子山,2012-04-28,Line 1,1号线,120.548762,31.293819,4
guangjinanlu,广济南路,2012-04-28,Line 1,1号线,120.601066,31.304529,9
leqiao,乐桥,2012-04-28,Line 1,1号线,120.622324,31.306404,11
lindunlu,临顿路,2012-04-28,Line 1,1号线,120.630633,31.307982,12
dongfangzhimen,东方之门,2012-04-28,Line 1,1号线,120.678894,31.316815,17
xingtangjie,星塘街,2012-04-28,Line 1,1号线,120.744012,31.325622,22
weiting,唯亭,2023-06-24,Line 11,11号线,120.788973,31.364513,200
pinghelu,平河路,2013-12-28,Line 2,2号线,120.614445,31.336854,34
suzhourailwaystation,苏州火车站,2013-12-28,Line 2,2号线,120.610463,31.330882,35
guangjinanlu,广济南路,2013-12-28,Line 2,2号线,120.601066,31.304529,38
laodonglu,劳动路,2013-12-28,Line 2,2号线,120.597195,31.291601,40
panlilu,盘蠡路,2013-12-28,Line 2,2号线,120.614546,31.266658,44
shihudonglu,石湖东路,2013-12-28,Line 2,2号线,120.629556,31.252785,46
jinshanglu,金尚路,2016-09-24,Line 2,2号线,120.77028,31.270382,57
sangtiandao,桑田岛,2016-09-24,Line 2,2号线,120.781237,31.272372,58
suzhouxinqurailwaystation,苏州新区火车站,2019-12-25,Line 3,3号线,120.525106,31.372573,59
shizishan,狮子山,2019-12-25,Line 3,3号线,120.548762,31.293819,67
suoshanqiaowest,索山桥西,2019-12-25,Line 3,3号线,120.572542,31.28313,70
panlilu,盘蠡路,2019-12-25,Line 3,3号线,120.614546,31.266658,75
baodailu,宝带路,2019-12-25,Line 3,3号线,120.628465,31.267177,76
jinsheqiao,金厍桥,2019-12-25,Line 3,3号线,120.67834,31.296533,82
ligongdiwest,李公堤西,2019-12-25,Line 3,3号线,120.679706,31.306657,83
dongfangzhimen,东方之门,2019-12-25,Line 3,3号线,120.678894,31.316815,84
fengtingdadao,葑亭大道,2019-12-25,Line 3,3号线,120.766695,31.361685,93
weiting,唯亭,2019-12-25,Line 3,3号线,120.788973,31.364513,95
sujin,苏锦,2017-04-15,Line 4,4号线,120.605163,31.336554,102
suzhourailwaystation,苏州火车站,2017-04-15,Line 4,4号线,120.610463,31.330882,103
leqiao,乐桥,2017-04-15,Line 4,4号线,120.622324,31.306404,106
nanmen,南门,2017-04-15,Line 4,4号线,120.624441,31.292053,108
baodailu,宝带路,2017-04-15,Line 4,4号线,120.628465,31.267177,111
shihudonglu,石湖东路,2017-04-15,Line 4,4号线,120.629556,31.252785,112
hongzhuang,红庄,2017-04-15,Line 4,4号线,120.628669,31.236298,113
hongzhuang,红庄,2017-04-15,Line 4b,4号线支线,120.628669,31.236298,127
suoshanqiaowest,索山桥西,2021-06-29,Line 5,5号线,120.572542,31.28313,147
laodonglu,劳动路,2021-06-29,Line 5,5号线,120.597195,31.291601,149
nanmen,南门,2021-06-29,Line 5,5号线,120.624441,31.292053,151
jinsheqiao,金厍桥,2021-06-29,Line 5,5号线,120.67834,31.296533,156
suzhouolympicsportscentre,苏州奥体中心,2021-06-29,Line 5,5号线,120.744258,31.308427,162
xingtangjie,星塘街,2021-06-29,Line 5,5号线,120.744012,31.325622,164
fengtingdadao,葑亭大道,2021-06-29,Line 5,5号线,120.766695,31.361685,167
suzhouxinqurailwaystation,苏州新区火车站,2024-06-29,Line 6,6号线,120.525106,31.372573,169
sujin,苏锦,2024-06-29,Line 6,6号线,120.605163,31.336554,178
pinghelu,平河路,2024-06-29,Line 6,6号线,120.614445,31.336854,179
lindunlu,临顿路,2024-06-29,Line 6,6号线,120.630633,31.307982,183
ligongdiwest,李公堤西,2024-06-29,Line 6,6号线,120.679706,31.306657,188
suzhouolympicsportscentre,苏州奥体中心,2024-06-29,Line 6,6号线,120.744258,31.308427,191
jinshanglu,金尚路,2024-06-29,Line 6,6号线,120.77028,31.270382,197
sangtiandao,桑田岛,2024-06-29,Line 6,6号线,120.781237,31.272372,198
