Sr No,line_code,line_name,MRT/LRT Direction,Shuttle Direction
1,CCL,Circle Line,1) Dhoby Ghaut 2) Harbour Front,1) Dhoby Ghaut 2) Harbour Front
2,CEL,Circle Line Extension,1) Marina Bay 2) Promenade,1) Marina Bay 2) Promenade
3,CGL,Changi Extension,1) Changi Airport 2) Tanah Merah,1) Changi Airport 2) Tanah Merah
4,DTL,Downtown Line,1) Chinatown 2) Bukit Panjang,1) Chinatown 2) Bukit Panjang
5,EWL,East West Line,1) Pasir Ris 2) Joo Koon,1) Pasir Ris 2) Joo Koon
6,NEL,North East Line,1) Punggol 2) Harbour Front,1) Punggol 2) Harbour Front
7,NSL,North South Line,1) Marina South Pier 2) Jurong East,1) Marina South Pier 2) Jurong East
,TEL,Thomson-East Coast Line, ,
8,PEL,Punggol LRT East Loop,Towards Damai Towards Punggol,No Shuttle Activated Towards Punggol
9,PWL,Punggol LRT West Loop,Towards Soo Teck Towards Punggol,No Shuttle Activated Towards Punggol
10,SEL,Sengkang LRT East Loop,Towards Ranggung Towards Sengkang,No Shuttle Activated Towards Ranggung
11,SWL,Sengkang LRT West Loop,Towards Renjong Towards Sengkang,No Shuttle Activated Towards Sengkang
12,BPL,Bukit Panjang LRT,Towards Senja Towards Choa Chu Kang,No Shuttle Activated Towards Senja Towards Petir
