all_station_codes,station_name,closed,num
EW24 NS1,Jurong East,,2
NS2,Bukit Batok,,1
NS3,Bukit Gombak,,1
BP1 NS4,Choa Chu Kang,,2
NS5,Yew Tee,,1
NS6,,,1
NS7,Kranji,,1
NS8,Marsiling,,1
NS9 TE2,Woodlands,,2
NS10,Admiralty,,1
NS11,Sembawang,,1
NS12,Canberra,,1
NS13,Yishun,,1
NS14,Khatib,,1
NS15,Yio Chu Kang,,1
NS16,Ang Mo Kio,,1
CC15 NS17,Bishan,,2
NS18,Braddell,,1
NS19,Toa Payoh,,1
NS20,Novena,,1
DT11 NS21,Newton,,2
NS22,Orchard,,1
NS23,Somerset,,1
CC1 NE6 NS24,Dhoby Ghaut,,3
EW13 NS25,City Hall,,2
EW14 NS26,Raffles Place,,2
CE2 NS27,Marina Bay,,2
NS28,Marina South Pier,,1
EW1,Pasir Ris,,1
DT32 EW2,Tampines,,2
EW3,Simei,,1
CG EW4,Tanah Merah,,2
EW5,Bedok,,1
EW6,Kembangan,,1
EW7,Eunos,,1
CC9 EW8,Paya Lebar,,2
EW9,Aljunied,,1
EW10,Kallang,,1
EW11,Lavender,,1
DT14 EW12,Bugis,,2
EW15,Tanjong Pagar,,1
EW16 NE3,Outram Park,,2
EW17,Tiong Bahru,,1
EW18,Redhill,,1
EW19,Queenstown,,1
EW20,Commonwealth,,1
CC22 EW21,Buona Vista,,2
EW22,Dover,,1
EW23,Clementi,,1
EW25,Chinese Garden,,1
EW26,Lakeside,,1
EW27,Boon Lay,,1
EW28,Pioneer,,1
EW29,Joo Koon,,1
EW30,Gul Circle,,1
EW31,Tuas Crescent,,1
EW32,Tuas West Road,,1
EW33,Tuas Link,,1
CG1 DT35,Expo,,2
CG2,Changi Airport,,1
CC29 NE1,HarbourFront,,2
NE2,,,1
DT19 NE4,Chinatown,,2
NE5,Clarke Quay,,1
DT12 NE7,Little India,,2
NE8,Farrer Park,,1
NE9,Boon Keng,,1
NE10,Potong Pasir,,1
NE11,Woodleigh,,1
CC13 NE12,Serangoon,,2
NE13,Kovan,,1
NE14,Hougang,,1
NE15,Buangkok,,1
NE16 STC,Sengkang,,2
NE17 PTC,Punggol,,2
CC2,Bras Basah,,1
CC3,Esplanade,,1
CC4 DT15,Promenade,,2
CC5,Nicoll Highway,,1
CC6,Stadium,,1
CC7,Mountbatten,,1
CC8,Dakota,,1
CC10 DT26,MacPherson,,2
CC11,Tai Seng,,1
CC12,Bartley,,1
CC14,Lorong Chuan,,1
CC16,Marymount,,1
CC17 TE9,Caldecott,,2
CC18,Bukit Brown,,1
CC19 DT9,Botanic Gardens,,2
CC20,Farrer Road,,1
CC21,Holland Village,,1
CC23,one-north,,1
CC24,Kent Ridge,,1
CC25,Haw Par Villa,,1
CC26,Pasir Panjang,,1
CC27,Labrador Park,,1
CC28,Telok Blangah,,1
CE1 DT16,Bayfront,,2
BP6 DT1,Bukit Panjang,,2
DT2,Cashew,,1
DT3,Hillview,,1
DT4,Hume,,1
DT5,Beauty World,,1
DT6,King Albert Park,,1
DT7,Sixth Avenue,,1
DT8,Tan Kah Kee,,1
DT10,Stevens,,1
DT13,Rochor,,1
DT17,Downtown,,1
DT18,Telok Ayer,,1
DT20,Fort Canning,,1
DT21,Bencoolen,,1
DT22,Jalan Besar,,1
DT23,Bendemeer,,1
DT24,Geylang Bahru,,1
DT25,Mattar,,1
DT27,Ubi,,1
DT28,Kaki Bukit,,1
DT29,Bedok North,,1
DT30,Bedok Reservoir,,1
DT31,Tampines West,,1
DT33,Tampines East,,1
DT34,Upper Changi,,1
TE1,Woodlands North,,1
TE3,Woodlands South,,1
TE4,Springleaf,,1
TE5,Lentor,,1
TE6,Mayflower,,1
TE7,Bright Hill,,1
TE8,Upper Thomson,,1
BP2,South View,,1
BP3,Keat Hong,,1
BP4,Teck Whye,,1
BP5,Phoenix,,1
BP7,Petir,,1
BP8,Pending,,1
BP9,Bangkit,,1
BP10,Fajar,,1
BP11,Segar,,1
BP12,Jelapang,,1
BP13,Senja,,1
BP14,Ten Mile Junction,,1
SE1,Compassvale,,1
SE2,Rumbia,,1
SE3,Bakau,,1
SE4,Kangkar,,1
SE5,Ranggung,,1
SW1,Cheng Lim,,1
SW2,Farmway,,1
SW3,Kupang,,1
SW4,Thanggam,,1
SW5,Fernvale,,1
SW6,Layar,,1
SW7,Tongkang,,1
SW8,Renjong,,1
PE1,Cove,,1
PE2,Meridian,,1
PE3,Coral Edge,,1
PE4,Riviera,,1
PE5,Kadaloor,,1
PE6,Oasis,,1
PE7,Damai,,1
PW1,Sam Kee,,1
PW2,Teck Lee,,1
PW3,Pungol Point,,1
PW4,Samudera,,1
PW5,Nibong,,1
PW6,Sumang,,1
PW7,Soo Teck,,1
